Family & Partners	家族と夫婦	夫婦妻彼娘
People Across Generations	世代をこえて	君王老若才
Feelings & Happiness	気持ちと幸せ	感情愛幸喜
Smiles & Wishes	笑顔と願い	笑望願夢欲
Sadness & Anger	悲しみと怒り	悲苦痛怒恥
Fear & Doubt	不安な気持ち	怖恐困疑迷
Mind & Memory	心と記憶	覚忘想念慣
Rest & Recovery	休息と回復	寝眠疲息吸
Body & Appearance	体と身だしなみ	歯腹背髪靴
Home & Hospitality	住まいとおもてなし	宅居宿客招
Around the House	家のまわり	庭窓箱座席
Daily Timing	一日の流れ	昨晩昔暮歳
Manners & Relationships	礼儀と関係	礼辞訪迎寄
Ceremonies & Traditions	祝いと伝統	婚祖御神福
Food & Drink	食べ物と飲み物	米酒杯冷熱
Seasons & Sunshine	季節の風景	雪晴陽候吹
Plants & Landscapes	植物と景色	葉草石景園
Animals & Movement	動物と動き	猫馬鳴飛泳
Paths & Destinations	道と目的地	路途港船渡
Setting Out	出発しよう	遊登越到遅
Direction & Position	向きと位置	向横側位置
Inside & Between	内と間	内両面列段
Flow & Depth	流れと深さ	流浮深落散
Hands in Motion	手を動かそう	押抜折掛
Taking & Returning	受け取りと返却	取受返戻払
Carrying On	続ける力	続追逃退留
Beginning & End	始まりと終わり	初末未完絶
Order & Frequency	順番と回数	次番常数幾
Parts & Wholes	部分と全体	部全組束類
Shapes & Comparisons	形と比較	形式格差似
Change & Growth	変化と成長	化変増加成
Results & Achievement	結果と達成	果実得達満
Value & Quality	価値と質	値良美優適
Necessity & Possibility	必要と可能	要必能難易
Certainty & Decisions	確かさと決定	確定決判認
Truth & Understanding	理解への道	現解識察観
Knowledge & Skills	知識と技術	科術精機具
Learning & Teaching	学びと教育	育師徒勤努
Work & Responsibility	仕事と責任	職務任責役
Help & Cooperation	助け合い	助支共供係
Meetings & Participation	会議と参加	議論談参賛
Contact & Communication	連絡と伝達	連関伝報告
Notes & Instructions	記録と指示	記示指表申
Questions & Requests	質問と依頼	求頼呼許
Plans & Promises	計画と約束	予期約選
Money & Trade	お金と商売	商財資費給
Economy & Prosperity	経済と豊かさ	経済富貧収
Public Life	社会の仕組み	政官法制権
Rules & Boundaries	規則と限り	規限守備
Safety & Risk	安全と危険	危険警害
Right & Wrong	正しさと間違い	罪犯誤違盗
Conflict & Loss	争いと失敗	戦争殺亡失
Winning & Losing	勝ち負け	勝敗負反対
Action & Impact	動きと衝撃	打投突倒破
Removing & Repairing	片付けと手入れ	消除断治
Music & Performance	音楽と舞台	曲演舞絵
Connections & Reasons	つながりと理由	因由性状件
Balance & Harmony	調和と平等	平和等互相
Everyday Judgments	暮らしの判断	他非否然当
Preparing & Arranging	準備と手配	配構積付
Changing Pace	速さと変化	速忙活労
Keeping & Remaining	保つと残る	存在残余欠
Opening & Closing	開け閉め	閉放込抱
Personal Qualities	人の特徴	偶偉様皆信
Words in Context	文脈の言葉	例単原種容
Sharing & Exchange	分け合いと交流	交利割与緒
Signs & Landmarks	目印と場所	号点局際頂
Time & Degree	時間と程度	過程更刻最
Care & Attention	注意を向けよう	探捕処命球
Calm & Clarity	落ち着いた景色	静煙雑降直調
