夫	夫 夫婦 工夫
婦	夫婦 主婦 婦人
妻	妻 夫妻 妻子
彼	彼 彼女 彼ら
娘	娘 一人娘 娘婿
君	君 諸君 君主
王	王 王子 国王
老	老人 老後 老化
若	若い 若者 若手
才	才能 天才 多才
感	感じ 感動 感謝
情	感情 事情 情報
愛	愛 愛情 愛する
幸	幸せ 幸福 不幸
喜	喜ぶ 喜び 大喜び
笑	笑う 笑顔 苦笑
望	望む 希望 失望
願	願う お願い 願望
夢	夢 夢中 悪夢
欲	欲しい 食欲 意欲
悲	悲しい 悲しみ 悲劇
苦	苦しい 苦手 苦労
痛	痛い 頭痛 痛み
怒	怒る 怒り 怒鳴る
恥	恥 恥ずかしい 恥じる
怖	怖い 怖がる 恐怖
恐	恐れる 恐怖 恐らく
困	困る 困難 貧困
疑	疑う 疑問 疑い
迷	迷う 迷子 迷惑
覚	覚える 感覚 自覚
忘	忘れる 忘れ物 忘年会
想	想像 感想 思想
念	残念 記念 念願
慣	慣れる 習慣 慣習
寝	寝る 寝室 寝坊
眠	眠る 眠い 睡眠
疲	疲れる 疲れ 疲労
息	息 息子 休息
吸	吸う 呼吸 吸収
歯	歯 歯医者 歯車
腹	お腹 空腹 腹痛
背	背 背中 背景
髪	髪 前髪 白髪
靴	靴 靴下 靴屋
宅	自宅 宅配 帰宅
居	居る 居間 居酒屋
宿	宿 宿題 宿泊
客	客 お客様 乗客
招	招く 招待 招き
庭	庭 家庭 中庭
窓	窓 窓口 車窓
箱	箱 本箱 ごみ箱
座	座る 座席 口座
席	席 出席 欠席
昨	昨日 昨年 昨夜
晩	今晩 晩ご飯 一晩
昔	昔 昔話 大昔
暮	暮らす 暮らし 日暮れ
歳	何歳 歳月 万歳
礼	お礼 失礼 礼儀
辞	辞書 辞める 辞典
訪	訪れる 訪問 来訪
迎	迎える 歓迎 送迎
寄	寄る 寄せる 年寄り
婚	結婚 離婚 新婚
祖	祖父 祖母 祖先
御	御飯 御社 御所
神	神 神社 神話
福	幸福 福祉 福
米	米 米国 北米
酒	酒 日本酒 酒屋
杯	一杯 乾杯 杯
冷	冷たい 冷える 冷房
熱	熱 熱い 熱心
雪	雪 大雪 雪国
晴	晴れる 晴れ 晴天
陽	太陽 陽気 夕陽
候	天候 気候 候補
吹	吹く 吹雪 息吹
葉	葉 言葉 葉書
草	草 草花 草木
石	石 石油 宝石
景	景色 風景 景気
園	公園 動物園 庭園
猫	猫 子猫 猫背
馬	馬 馬車 競馬
鳴	鳴く 鳴る 鳴らす
飛	飛ぶ 飛行機 飛行
泳	泳ぐ 水泳 泳ぎ
路	道路 線路 通路
途	途中 用途 途上
港	港 空港 開港
船	船 船長 船旅
渡	渡る 渡す 渡し
遊	遊ぶ 遊び 遊園地
登	登る 登山 登場
越	越える 越す 引っ越す
到	到着 到達 到来
遅	遅れる 遅い 遅刻
向	向く 向こう 方向
横	横 横断 横顔
側	側 右側 内側
位	位置 地位 単位
置	置く 位置 放置
内	内 内容 案内
両	両親 両方 両側
面	面 面白い 表面
列	列 列車 行列
段	階段 手段 値段
流	流れる 流す 交流
浮	浮く 浮かぶ 浮かべる
深	深い 深夜 深刻
落	落ちる 落とす 落ち着く
散	散歩 散る 散らかる
押	押す 押さえる 押し入れ
抜	抜く 抜ける 抜群
折	折る 折れる 折り紙
掛	掛ける 掛かる 心掛ける
取	取る 受け取る 取り消す
受	受ける 受け取る 受付
返	返す 返事 返る
戻	戻る 戻す 取り戻す
払	払う 支払う 支払い
続	続く 続ける 連続
追	追う 追い付く 追加
逃	逃げる 逃す 逃走
退	退院 退職 引退
留	留学 留守 停留所
初	初めて 最初 初心者
末	週末 年末 月末
未	未来 未満 未定
完	完成 完全 完了
絶	絶対 絶望 気絶
次	次 次回 目次
番	番号 一番 順番
常	日常 非常 常識
数	数字 人数 数学
幾	幾つ 幾ら 幾分
部	部屋 部分 全部
全	全部 全体 安全
組	組 番組 組み立てる
束	束 約束 花束
類	種類 書類 人類
形	形 人形 形式
式	式 公式 結婚式
格	性格 合格 価格
差	差 差別 時差
似	似る 似合う 真似
化	文化 変化 化学
変	変 変わる 大変
増	増える 増やす 増加
加	加える 参加 加工
成	成功 成長 完成
果	果物 結果 効果
実	実は 事実 実際
得	得意 納得 得る
達	友達 達する 上達
満	満足 満員 不満
値	値段 価値 値上げ
良	良い 良好 不良
美	美しい 美術 美人
優	優しい 優勝 俳優
適	適当 適切 快適
要	必要 重要 要求
必	必ず 必要 必死
能	能力 可能 性能
難	難しい 困難 非難
易	易しい 容易 貿易
確	確か 確認 正確
定	予定 決定 安定
決	決める 決まる 解決
判	判断 判定 評判
認	認める 確認 承認
現	現在 現れる 現実
解	分解 理解 解決
識	知識 意識 常識
察	警察 観察 診察
観	観光 観客 観察
科	科学 教科書 外科
術	技術 美術 手術
精	精神 精一杯 精神科
機	機械 機会 飛行機
具	道具 具体的 家具
育	育つ 育てる 教育
師	教師 医師 講師
徒	生徒 徒歩 教徒
勤	通勤 勤務 勤める
努	努力 努める 努めて
職	職業 就職 退職
務	事務 事務所 勤務
任	責任 任せる 担任
